X,Y,OBJECTID,Num,ARFVTP_ID,Agreement_Number,Project_Number,Recipient_Contractor,Project_Title,Project_Amount,Project_Type,Fuel_Type,Supply_Chain_Phase,RDD_D_Phase,Status,Project_Address,Project_City,Project_State,Project_Zip,Full_Address,Latitude,Longitude,Confidence,County,Senate_District,Senate_Sort,Assembly_District,Air_District,Electric_Service_Area,Disadvantaged_Community_OEHHA,Disadvantaged_Community_SB535,Low_Income_SB535,CES_Score,CES_Percentile,CES_Percentile_Range,Assembly_Sort,Project_Location,LowIncome_SB1000,Fiscal_Year,DAC_OEHHA__and_LIC_SB1000_,DAC_CARB__LIC_CARB_,Disadvantaged_Community_CES3,Disadvantaged_Community_CES4
-13523985.8263,4660930.67,8397,,,ARV-09-007,1298,ChargePoint,No City Left Behind,9591.57894737,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1500 10th St,Sacramento,CA,95814,"1500 10th St, Sacramento CA 95814",38.574685,-121.4880317,High,Sacramento,State Senate District 8,8,State Assembly District 6,Sacramento Metro,Sacramento Municipal Utility District,NO,No,Yes,31.0081212467378,60.6404437720625,,,Low Income,Yes,,,,NO,NO
-13550507.5058,4674615.334,8398,,,ARV-10-001,311,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,2996.53889758,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,2031 Bronze Star Dr,Woodland,CA,95776,"2031 Bronze Star Dr, Woodland CA 95776",38.670728,-121.72628,High,Yolo,State Senate District 3,3,State Assembly District 4,Yolo-Solano,Pacific Gas & Electric Company,NO,No,No,27.9553703600491,54.8663640948059,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13524751.0699,4660865.0287,8399,,,600-13-005,11,DGS,"Electric Vehicle Supply Equipment Installation in DGS Owned Buildings, Parking Garages and Surface Lots",80046.6647058824,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,"1500 11th St, Ste 145",Sacramento,CA,95814,"1500 11th St, Ste 145, Sacramento CA 95814",38.574224,-121.494906,High,Sacramento,State Senate District 8,8,State Assembly District 6,Sacramento Metro,Sacramento Municipal Utility District,YES,Yes,Yes,42.200040738097,78.3030761472516,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
-13035531.2962,3867099.4169,8400,,,,H-00070,CALeVIP Recipient,CALeVIP,50000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,4405 Vandever Ave,san diego,CA,92120,"4405 Vandever Ave, san diego CA 92120",32.787254,-117.10017,High,San Diego,State Senate District 39,39,State Assembly District 78,San Diego,San Diego Gas & Electric,NO,No,Yes,15.5948166123252,26.8784669692385,,,Low Income,Yes,,,,NO,NO
-13500965.1783,4663068.8993,8401,,,,C-00302,CALeVIP Recipient,CALeVIP,50000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,10877 White Rock Rd,Rancho Cordova,CA,95670,"10877 White Rock Rd, Rancho Cordova CA 95670",38.5897002,-121.2812337,High,Sacramento,State Senate District 6,6,State Assembly District 7,Sacramento Metro,Sacramento Municipal Utility District,NO,No,Yes,39.7480952977071,74.6091780131114,,,Low Income,Yes,,,,NO,NO
-13624911.1157,4547756.7574,8402,,,ARV-09-007,1166,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13151553.1015,3996312.1716,8403,,,,A-00187,CALeVIP Recipient,CALeVIP,140000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,4406 1/2 E Ocean Blvd,Long Beach,CA,90803,"4406 1/2 E Ocean Blvd, Long Beach CA 90803",33.75769177,-118.14241161,High,Los Angeles,State Senate District 33,33,State Assembly District 69,South Coast,Southern California Edison,NO,No,No,12.0232401786885,18.0408472012103,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13145806.1649,4033461.8032,8404,,,,A-00246,CALeVIP Recipient,CALeVIP,80000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1500 Paramount Blvd,Montebello,CA,90640,"1500 Paramount Blvd, Montebello CA 90640",34.034696,-118.090786,High,Los Angeles,State Senate District 30,30,State Assembly District 54,South Coast,Southern California Edison,YES,Yes,No,41.5150818064492,77.3575390821987,,,Disadvantaged Community,No,,,,YES,YES
-13624425.5401,4544398.6334,8405,,,ARV-09-007,1312,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1090 26th St,San Francisco,CA,94107,"1090 26th St, San Francisco CA 94107",37.75163,-122.390297,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,,,,,Low Income,Yes,,,,NO,NO
-13339960.7152,4410335.0578,8406,,,,F-00444,CALeVIP Recipient,CALeVIP,13546,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,2035 W Ashlan Ave,Fresno,CA,93705,"2035 W Ashlan Ave, Fresno CA 93705",36.793304,-119.834906,High,Fresno,State Senate District 14,14,State Assembly District 31,San Joaquin Valley Unified,Pacific Gas & Electric Company,YES,Yes,Yes,40.2161558722555,75.3151790216843,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
-13122982.2184,3984842.0066,8407,,,ARV-13-048,4,Caltrans,Caltrans-Installation of EV Charging Stations,16000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1090 Bristol St,Costa Mesa,CA,92626,"1090 Bristol St, Costa Mesa CA 92626",33.6719835,-117.885755,High,Orange,State Senate District 37,37,State Assembly District 73,South Coast,Southern California Edison,NO,No,No,21.7228180730907,41.5784165405951,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13624911.1157,4547756.7574,8408,,,ARV-09-007,1169,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13575943.1188,4488721.5092,8409,,,ARV-17-044,1,"City of Santa Clara, dbs Silicon Valley Power",Santa Clara EV-Ready Communities Blueprint Development,171611.23,Regional Alternative Fuel Readiness and Planning,Electric,Local Infra,Regional Readiness,Complete,1500 Warburton Avenue,Santa Clara,CA,95050,"1500 Warburton Avenue, Santa Clara CA 95050",37.355115,-121.954772,High,Santa Clara,State Senate District 10,10,State Assembly District 26,Bay Area,Power and Water Resource Pooling Authority,NO,Yes,Yes,30.4172561704972,59.5310136157337,,,Low Income and Disadvantaged Community,Yes,,,Low Income and Disadvantaged,YES,NO
-13115337.241,4042458.5114,8410,,,ARV-10-001,94,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,2996.53889758,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,441 Borrego Ct,San Dimas,CA,91773,"441 Borrego Ct, San Dimas CA 91773",34.101644,-117.817079,High,Los Angeles,State Senate District 22,22,State Assembly District 41,South Coast,Southern California Edison,NO,No,Yes,25.2537175297768,49.3696419566314,,,Low Income,Yes,,,,NO,NO
-13629025.2726,4538881.7361,8411,,,ARV-10-032,52,ABAG,Bay Area EV Corridor Project: Phase I EVSE Development,7266.32419512,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1500-1514 Geneva Ave,San Francisco,CA,94112,"1500-1514 Geneva Ave, San Francisco CA 94112",37.7124346,-122.4316171,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,14.0324335522681,23.1341401916288,,,Low Income,Yes,,,,NO,NO
-13624911.1157,4547756.7574,8412,,,ARV-09-007,1176,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13500793.557,4663104.7177,8413,,,,C-00303,CALeVIP Recipient,CALeVIP,50000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,10911 White Rock Rd,Rancho Cordova,CA,95670,"10911 White Rock Rd, Rancho Cordova CA 95670",38.5899517,-121.279692,High,Sacramento,State Senate District 6,6,State Assembly District 7,Sacramento Metro,Sacramento Municipal Utility District,NO,No,Yes,39.7480952977071,74.6091780131114,,,Low Income,Yes,,,,NO,NO
-13568902.829,4494505.932,8414,,,,I-271746,CALeVIP Recipient,CALeVIP,36000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,2045 Lundy Ave,San Jose,CA,95131,"2045 Lundy Ave, San Jose CA 95131",37.396408,-121.891528,High,Santa Clara,State Senate District 10,10,State Assembly District 24,Bay Area,Pacific Gas & Electric Company,NO,No,No,23.731859124292,46.0161371659102,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13514426.9107,5019242.0577,8415,,,ARV-19-073,,Fall River Joint Unified School District,Electric School Bus and Charging Infrastructure,60000,MD/HD ZEV Infrastructure,Electric,Local Infra,Deployment,Complete,44154 Walnut Street,Burney,CA,96056,"44154 Walnut Street, Burney CA 96056",41.0467658,-121.4021625,High,Shasta,State Senate District 1,1,State Assembly District 1,Shasta,Pacific Gas & Electric Company,NO,No,Yes,18.5100078160573,33.963691376702,,,Low Income,Yes,,,,NO,NO
-13561184.2694,4670550.325,8416,,,ARV-14-033,1,Woodland Joint USD,Electric Vehicle Charging Installations,15908.8425,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,20450 Co Rd 97,Woodland,CA,95695,"20450 Co Rd 97, Woodland CA 95695",38.642212,-121.822191,High,Yolo,State Senate District 3,3,State Assembly District 4,Yolo-Solano,Pacific Gas & Electric Company,NO,No,No,27.9553703600491,54.8663640948059,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13377222.4657,4768207.3355,8417,,,ARV-10-001,105,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,8989.61669273,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,10918 Brockway Rd,Truckee,CA,96161,"10918 Brockway Rd, Truckee CA 96161",39.32413,-120.169634,High,Nevada,State Senate District 4,4,State Assembly District 1,Northern Sierra,Truckee Donner Public Utilities District,NO,No,No,11.543317732148,16.7170953101362,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13624911.1157,4547756.7574,8418,,,ARV-09-007,1221,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13030908.7766,3912419.068,8419,,,ZVI-22-017,,"ChargePoint, Inc.",Replicable Approach to EV Charging for MFH Residents in Southern California,425000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1501 E Grand Ave.,Escondido,CA,92027,"1501 E Grand Ave., Escondido CA 92027",33.1288493,-117.0586452,High,San Diego,State Senate District 40,40,State Assembly District 76,San Diego,San Diego Gas & Electric,NO,No,Yes,27.8052511838432,54.5385779122542,,,Low Income,Yes,,,,NO,NO
-13624911.1157,4547756.7574,8420,,,ARV-09-007,1224,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13139653.648,4039012.3466,8421,,,ARV-10-001,85,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,10925 Railroad St,El Monte,CA,91731,"10925 Railroad St, El Monte CA 91731",34.076006,-118.035517,High,Los Angeles,State Senate District 22,22,State Assembly District 49,South Coast,Southern California Edison,YES,Yes,Yes,66.5575139009344,98.2854261220373,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
-12939275.7815,3992291.2417,8422,,,ARV-13-046,9,County of Riverside,Riverside County EDA Electric Vehicle Infrastructure Expansion,62169.555,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,44199 Monroe St,Indio,CA,92201,"44199 Monroe St, Indio CA 92201",33.727656,-116.235492,High,Riverside,State Senate District 18,18,State Assembly District 36,South Coast,Imperial Irrigation District,NO,No,Yes,30.9571857611084,60.5269793242562,,,Low Income,Yes,,,,NO,NO
-13181686.4405,4036683.9062,8423,,,ARV-09-007,1271,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,2049 Century Park E,Los Angeles,CA,90067,"2049 Century Park E, Los Angeles CA 90067",34.058679,-118.413104,High,Los Angeles,State Senate District 28,28,State Assembly District 55,South Coast,Los Angeles Department of Water & Power,NO,No,No,20.0433235783777,37.6575895108422,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13608950.1271,4555827.4152,8424,,,,L-10995,CALeVIP Recipient,CALeVIP,55000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,4421 Gilbert St,Oakland,,94611,"4421 Gilbert St, Oakland  94611",37.832761,-122.251279,High,Alameda,State Senate District 7,7,State Assembly District 14,Bay Area,Pacific Gas & Electric Company,NO,No,No,9.34543442634048,11.2834089762985,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13500797.6758,4662858.2349,8425,,,,C-00399,CALeVIP Recipient,CALeVIP,50000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,10940 White Rock Rd,Rancho Cordova,CA,95670,"10940 White Rock Rd, Rancho Cordova CA 95670",38.588221,-121.279729,High,Sacramento,State Senate District 6,6,State Assembly District 7,Sacramento Metro,Sacramento Municipal Utility District,NO,No,Yes,39.7480952977071,74.6091780131114,,,Low Income,Yes,,,,NO,NO
-13624911.1157,4547756.7574,8426,,,ARV-09-007,1231,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 King St,San Francisco,CA,94158,"301 King St, San Francisco CA 94158",37.775478,-122.394659,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,21.3587293148749,40.7337367624811,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13587730.2945,4565426.8622,8427,,,ARV-17-038,1,Tierra Resource Consultants,EV Ready Community Low-Income Multifamily Blueprint,199791.85,Regional Alternative Fuel Readiness and Planning,Electric,Local Infra,Regional Readiness,Complete,"1501 North Broadway, Suite 300",Walnut Creek,CA,94596,"1501 North Broadway, Suite 300, Walnut Creek CA 94596",37.900837,-122.060658,High,Contra Costa,State Senate District 9,9,State Assembly District 16,Bay Area,Pacific Gas & Electric Company,NO,No,No,14.8826496862157,25.2143217347453,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13333475.4643,4088658.1912,8428,,,ARV-13-051,14,EV Alliance,Central Coast Charge Ahead Project,12781.4005128,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,4436 Calle Real,Santa Barbara,CA,93110,"4436 Calle Real, Santa Barbara CA 93110",34.444599,-119.776648,High,Santa Barbara,State Senate District 21,21,State Assembly District 37,Santa Barbara,Southern California Edison,NO,No,Yes,17.5825327143917,31.7574382249117,,,Low Income,Yes,,,,NO,NO
-13546411.3938,4602104.8442,8429,,,ARV-16-006,11,"EV Connect, Inc.",EV Connect East-West Corridors,139409.75,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,205 CA-12,Rio Vista,CA,94571,"205 CA-12, Rio Vista CA 94571",38.160365,-121.689484,High,Solano,State Senate District 3,3,State Assembly District 11,Yolo-Solano,Pacific Gas & Electric Company,YES,Yes,No,41.7641896181487,77.7609682299546,,,Disadvantaged Community,No,,,,NO,YES
-13051546.0521,3882253.728,8430,,,ARV-09-005,1210,Blink Acquisition,Nissan Electric Vehicle Demonstration and Vehicle Infrastructure Evaluation,23969.8277537,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,10950 N Torrey Pines Rd,La Jolla,CA,92037,"10950 N Torrey Pines Rd, La Jolla CA 92037",32.901626,-117.244033,High,San Diego,State Senate District 38,38,State Assembly District 77,San Diego,San Diego Gas & Electric,NO,No,No,14.2524125522271,23.7266767523954,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13042197.33,3913426.6639,8431,,,ARV-12-024,18,ChargePoint,MultiCharge San Diego - Chargepoint (formerly Coulomb Technologies),23182.9004673,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,205 E Carmel St,San Marcos,CA,92078,"205 E Carmel St, San Marcos CA 92078",33.136429,-117.160052,High,San Diego,State Senate District 40,40,State Assembly District 76,San Diego,San Diego Gas & Electric,NO,No,Yes,18.5999054216216,34.2032274331821,,,Low Income,Yes,,,,NO,NO
-13625033.0105,4549910.6499,8432,,,ARV-09-007,1164,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 Mission St,San Francisco,CA,94105,"301 Mission St, San Francisco CA 94105",37.79077,-122.395754,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,15.8960533167635,27.5844679778114,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13626224.9083,4549814.8618,8433,,,ARV-10-032,46,ABAG,Bay Area EV Corridor Project: Phase I EVSE Development,29065.2967805,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,444 Stockton St,San Francisco,CA,94108,"444 Stockton St, San Francisco CA 94108",37.79009,-122.406461,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,Yes,24.9428914485731,48.613212304589,,,Low Income,Yes,,,,NO,NO
-13060745.8288,4028616.3245,8434,,,ARV-10-001,146,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,11986.1555903,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1501 Research Park Dr,Riverside,CA,92507,"1501 Research Park Dr, Riverside CA 92507",33.998617,-117.326676,High,Riverside,State Senate District 31,31,State Assembly District 60,South Coast,City of Riverside,NO,No,No,28.6098802542081,56.1144730206757,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13625033.0105,4549910.6499,8435,,,ARV-09-007,1172,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 Mission St,San Francisco,CA,94105,"301 Mission St, San Francisco CA 94105",37.79077,-122.395754,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,15.8960533167635,27.5844679778114,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13500666.0962,4663152.3288,8436,,,,C-00299,CALeVIP Recipient,CALeVIP,45000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,10951 White Rock Rd,Rancho Cordova,CA,95670,"10951 White Rock Rd, Rancho Cordova CA 95670",38.590286,-121.278547,High,Sacramento,State Senate District 6,6,State Assembly District 7,Sacramento Metro,Sacramento Municipal Utility District,NO,No,Yes,39.7480952977071,74.6091780131114,,,Low Income,Yes,,,,NO,NO
-13569349.2981,4486111.0082,8437,,,ARV-10-001,12,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,2996.53889758,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,205 John C. Begovich Memorial Hwy,Jackson,CA,95642,"205 John C. Begovich Memorial Hwy, Jackson CA 95642",37.33647209,-121.8955387,Low,Santa Clara,State Senate District 15,15,State Assembly District 25,Bay Area,Pacific Gas & Electric Company,NO,No,No,28.8657385116941,56.7070095814423,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13150150.4414,4121880.189,8438,,,ARV-12-004,1,Southern California Gas Company,Lancaster CNG Station,216000,Natural Gas Fueling Infrastructure,Natural Gas,Local Infra,Deployment,Complete,44416 Division Street,Lancaster,CA,93535,"44416 Division Street, Lancaster CA 93535",34.6903502,-118.1298113,High,Los Angeles,State Senate District 23,23,State Assembly District 39,Antelope Valley,Southern California Edison,YES,Yes,Yes,45.3393292175046,82.3247604639435,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,NO,YES
-13249196.4797,4214691.1027,8439,,,,F-00581,CALeVIP Recipient,CALeVIP,16000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,1501 Truxtun Ave,Bakersfield,CA,93301,"1501 Truxtun Ave, Bakersfield CA 93301",35.373033,-119.019557,High,Kern,State Senate District 12,12,State Assembly District 32,San Joaquin Valley Unified,Pacific Gas & Electric Company,YES,Yes,Yes,59.5011462372873,95.398386283409,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
-13020789.1113,3994911.9086,8440,,,ARV-10-001,149,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,445 E Florida Ave,Hemet,CA,92543,"445 E Florida Ave, Hemet CA 92543",33.7472332,-116.9677387,High,Riverside,State Senate District 19,19,State Assembly District 36,South Coast,Southern California Edison,YES,Yes,Yes,44.4124512663446,81.3414019162884,,,Low Income and Disadvantaged Community,Yes,,Low Income and Disadvantaged,Low Income and Disadvantaged,YES,YES
-13134983.5727,4002412.4653,8441,,,ARV-12-015,8,"RTC Fuels, LLC dba Pearson Fuels",Pearson Fuels E85 Stations,71053,E85 Fueling Infrastructure,Ethanol,Local Infra,Deployment,Complete,10961 Beach Blvd,Stanton,CA,90680,"10961 Beach Blvd, Stanton CA 90680",33.80324,-117.993565,High,Orange,State Senate District 36,36,State Assembly District 70,South Coast,Southern California Edison,NO,No,Yes,37.2542147203546,70.9026727181039,,,Low Income,Yes,,,,NO,NO
-13114269.0192,4042937.6537,8442,,,ARV-10-001,91,ClipperCreek,Update Existing EV infrastructure To SAE-J1772tm Without Stranding Existing Drivers,5993.07779515,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,205 S San Dimas Ave,San Dimas,CA,91773,"205 S San Dimas Ave, San Dimas CA 91773",34.105208,-117.807483,High,Los Angeles,State Senate District 22,22,State Assembly District 41,South Coast,Southern California Edison,NO,No,Yes,25.2537175297768,49.3696419566314,,,Low Income,Yes,,,,NO,NO
-13192762.9525,4036181.2449,8443,,,ARV-10-045,46,SCAQMD,SoCal EV Ready Project,5549.5049505,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1501 Will Rogers State Park Rd,Pacific Palisades,CA,90272,"1501 Will Rogers State Park Rd, Pacific Palisades CA 90272",34.054938,-118.512606,High,Los Angeles,State Senate District 24,24,State Assembly District 42,South Coast,Los Angeles Department of Water & Power,NO,No,No,,,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13780240.3219,4875759.3949,8444,,,ARV-16-005,11,ChargePoint,California's Interregional Express Corridors,92777.1458333333,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,445 Lake Benbow Dr,Garberville,CA,95542,"445 Lake Benbow Dr, Garberville CA 95542",40.067523,-123.790005,High,Humboldt,State Senate District 2,2,State Assembly District 2,North Coast Unified,Pacific Gas & Electric Company,NO,No,Yes,16.4646318266811,28.958648512355,,,Low Income,Yes,,,,NO,NO
-13625033.0105,4549910.6499,8445,,,ARV-09-007,1191,ChargePoint,No City Left Behind,2397.89473684,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,301 Mission St,San Francisco,CA,94105,"301 Mission St, San Francisco CA 94105",37.79077,-122.395754,High,San Francisco,State Senate District 11,11,State Assembly District 17,Bay Area,Pacific Gas & Electric Company,NO,No,No,15.8960533167635,27.5844679778114,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13035781.5424,3866860.9401,8446,,,,H-00097,CALeVIP Recipient,CALeVIP,45000,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Active,10990 San Diego Mission Rd,san diego,CA,92108,"10990 San Diego Mission Rd, san diego CA 92108",32.785453,-117.102418,High,San Diego,State Senate District 39,39,State Assembly District 78,San Diego,San Diego Gas & Electric,NO,No,Yes,15.5948166123252,26.8784669692385,,,Low Income,Yes,,,,NO,NO
-13826822.5194,4957553.3169,8447,,,ARV-16-005,10,ChargePoint,California's Interregional Express Corridors,185554.291666667,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,11 Bear Paws Way,Loleta,CA,95551,"11 Bear Paws Way, Loleta CA 95551",40.627507,-124.20846,High,Humboldt,State Senate District 2,2,State Assembly District 2,North Coast Unified,Pacific Gas & Electric Company,NO,Yes,Yes,24.4863551089036,47.7559253656077,,,Low Income and Disadvantaged Community,Yes,,,Low Income and Disadvantaged,NO,NO
-13192762.9525,4036181.2449,8448,,,ARV-14-014,9,Adopt A Charger,"Adopt-A-Charger, the California State Parks and the CEC: 61 EV Chargers at 12 State Parks",20093.7795081967,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,1501 Will Rogers State Park Rd,Pacific Palisades,CA,90272,"1501 Will Rogers State Park Rd, Pacific Palisades CA 90272",34.054938,-118.512606,High,Los Angeles,State Senate District 24,24,State Assembly District 42,South Coast,Los Angeles Department of Water & Power,NO,No,No,,,,,Neither Low Income Nor Disadvantaged Community,No,,,,NO,NO
-13694330.5068,4693691.2962,8449,,,ARV-14-020,2,"County of Sonoma, General Services Department",Sustaining and Growing the Redwood Coast Electric Trail,239859.95,Electric Vehicle Charging Infrastructure,Electric,Local Infra,Deployment,Complete,205 W 1st St,Cloverdale,CA,95425,"205 W 1st St, Cloverdale CA 95425",38.804394,-123.018264,High,Sonoma,State Senate District 2,2,State Assembly District 2,Northern Sonoma,Pacific Gas & Electric Company,NO,No,Yes,12.8923320375055,20.2092788703984,,,Low Income,Yes,,,,NO,NO
